,xpos,ypos,J,Ks,J-Ks,Per (days),A (mag),prob,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt,Selected_Z,alpha
122,108.452,540.397,21.41,20.39,1.0199999999999996,445,0.299,99.48,0.11300000000000004,1.297179270983956,9.45732,2866289151.9183574,5.813152684910461,650358.2966207138,0.008,2.3
123,809.62,316.646,21.77,20.39,1.379999999999999,282,0.306,103.41,0.11300000000000004,1.297179270983956,9.45732,2866289151.9183574,5.813152684910461,650358.2966207138,0.008,2.3
124,83.742,289.019,22.23,20.39,1.8399999999999999,346,0.319,111.82,0.11300000000000004,1.297179270983956,9.45732,2866289151.9183574,5.813152684910461,650358.2966207138,0.008,2.3
125,838.892,828.252,20.76,20.39,0.370000000000001,285,0.326,105.36,0.11300000000000004,1.297179270983956,9.45732,2866289151.9183574,5.813152684910461,650358.2966207138,0.008,2.3
126,176.566,702.62,21.8,20.38,1.4200000000000017,309,0.338,109.58,0.11375000000000007,1.299421355637483,9.453909999999999,2843871703.2849874,5.815203256566594,653436.2994374951,0.008,2.3
127,87.904,336.986,21.950000000000003,20.37,1.5800000000000018,331,0.373,114.47,0.11449999999999999,1.3016673155792644,9.450499999999998,2821629583.090792,5.817242846286868,656512.2684330469,0.008,2.3
128,725.735,704.143,21.720000000000002,20.37,1.3500000000000014,345,0.408,117.58,0.11449999999999999,1.3016673155792644,9.450499999999998,2821629583.090792,5.817242846286868,656512.2684330469,0.008,2.3
129,139.861,121.752,21.26,20.37,0.8900000000000006,311,0.351,110.75,0.11449999999999999,1.3016673155792644,9.450499999999998,2821629583.090792,5.817242846286868,656512.2684330469,0.008,2.3
130,708.216,431.793,22.130000000000003,20.36,1.7700000000000031,486,0.558,93.39,0.11525000000000013,1.3039171575074695,9.44709,2799561420.0797553,5.819271417831957,659585.9830675706,0.008,2.3
131,105.709,309.71,21.48,20.36,1.120000000000001,298,0.37,110.2,0.11525000000000013,1.3039171575074695,9.44709,2799561420.0797553,5.819271417831957,659585.9830675706,0.008,2.3
132,511.431,752.32,21.46,20.35,1.1099999999999994,374,0.458,120.27,0.11599999999999994,1.3061708881318412,9.443679999999999,2777665853.720514,5.821288935013173,662657.2212436611,0.008,2.3
133,706.228,562.504,21.700000000000003,20.35,1.3500000000000014,277,0.35,105.89,0.11599999999999994,1.3061708881318412,9.443679999999999,2777665853.720514,5.821288935013173,662657.2212436611,0.008,2.3
134,96.725,45.664,21.71,20.34,1.370000000000001,115,0.269,100.43,0.11675000000000008,1.3084285141737244,9.440269999999998,2755941534.122552,5.823295361692901,665725.7593249312,0.008,2.3
135,238.444,759.722,22.18,20.34,1.8399999999999999,184,0.248,91.96,0.11675000000000008,1.3084285141737244,9.440269999999998,2755941534.122552,5.823295361692901,665725.7593249312,0.008,2.3
136,831.839,266.819,21.64,20.33,1.3100000000000023,439,0.587,111.6,0.11750000000000022,1.3106900423660774,9.436859999999998,2734387121.952931,5.825290661784983,668791.3721550329,0.008,2.3
137,323.482,229.953,21.27,20.32,0.9499999999999993,326,0.49,118.98,0.11825000000000002,1.3129554794534966,9.433449999999999,2713001288.3537383,5.8272747992551315,671853.8330772211,0.008,2.3
138,40.677,-0.487,22.91,20.31752380952381,1.7,491,0.586,51.77,0.11843571428571437,1.3135170494049209,9.432605619047617,2707731635.6436105,5.827764381062511,672611.6434981469,0.008,2.3
139,572.238,20.186,21.360000000000003,20.31,1.0500000000000043,349,0.378,116.14,0.11900000000000016,1.3152248321922388,9.430039999999998,2691782714.8601217,5.82924773812133,674912.9139543627,0.008,2.3
140,205.793,127.571,22.490000000000002,20.30802164502164,1.7,455,0.077,74.62,0.11914837662337702,1.3156742552628866,9.429365380952378,2687604632.2567406,5.829636725453227,675517.6883455558,0.008,2.3
141,563.904,47.281,21.73,20.3,1.4299999999999997,591,0.225,30.92,0.11974999999999997,1.3174981073502345,9.42663,2670730093.319077,5.831209442454236,677968.3851894414,0.008,2.3
142,58.112,315.068,21.71,20.3,1.4100000000000001,303,0.452,114.88,0.11974999999999997,1.3174981073502345,9.42663,2670730093.319077,5.831209442454236,677968.3851894414,0.008,2.3
143,175.552,762.948,22.09,20.3,1.7899999999999991,321,0.483,118.23,0.11974999999999997,1.3174981073502345,9.42663,2670730093.319077,5.831209442454236,677968.3851894414,0.008,2.3
144,671.709,132.349,21.610000000000003,20.29,1.3200000000000038,306,0.12,87.37,0.12050000000000011,1.3197753117071158,9.423219999999999,2649842125.8087144,5.833159876377589,681020.0157465462,0.008,2.3
145,398.332,38.844,21.39,20.29,1.1000000000000014,626,0.238,17.01,0.12050000000000011,1.3197753117071158,9.423219999999999,2649842125.8087144,5.833159876377589,681020.0157465462,0.008,2.3
146,654.386,370.159,21.96,20.29,1.6700000000000017,173,0.228,90.73,0.12050000000000011,1.3197753117071158,9.423219999999999,2649842125.8087144,5.833159876377589,681020.0157465462,0.008,2.3
